Unnamed: 0,Unnamed: 1,Date,2025-10-31 00:00:00,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Code,Description,Size,UOM,Cost Price,Closing Stock - Full Kegs,Closing Stock - Pints,Stock at Cost,,,,,
D2133,20 Heineken 00%,20Lt,35,59.72,0,26.25,44.79,,,,,
D0007,30 Beamish,30Lt,53,92.08,,17.6666666666667,30.6933333333333,,,,,
D1004,30 Coors,30Lt,53,117.7,3,26.5,411.95,,,,,
D0004,30 Heineken,30Lt,53,117.7,2,26.5,294.25,,,,,
D0012,30 Killarney Blonde,30Lt,53,119.7,,,0,,,,,
D0011,30 Lagunitas IPA,30Lt,53,144.14,1,26.5,216.21,,,,,
D2354,30 Moretti,30Lt,53,133.15,2,13.25,299.5875,,,,,
D1003,30 Murphys,30Lt,53,112.34,2,26.5,280.85,,,,,
D0008,30 Murphys Red,30Lt,53,114.68,1,26.5,172.02,,,,,
D1022,30 Orchards,30Lt,53,116.75,4,,467,,,,,
D0006,30 OT Wild Orchard,30Lt,53,116.75,2,,233.5,,,,,
D1258,50 Coors,50Lt,88,196.14,6,39.75,1265.43732954545,,,,,
D0005,50 Guinness,50Lt,88,186.51,3,22,606.1575,,,,,
D0030,50 Heineken,50Lt,88,196.14,5,,980.7,,,,,
Total for,,,,,,Draught Beers,5303.14566287879,,,,,
Code,Description,Size,UOM,Cost Price,Closing Stock - Full Case,Closing Stock - Bottles,Stock at Cost,,,,,
B0070,Budweiser 33cl,Doz,12,11.75,,145,141.979166666667,,,,,
B0075,Bulmers 33cl,Doz,12,20.79,,82,142.065,,,,,
B0085,Bulmers Pt Btl,Doz,12,27.6,,267,614.1,,,,,
B0095,Coors 330ml,Doz,12,14.18,,139,164.251666666667,,,,,
B0101,Corona 33cl,Doz,12,13.75,,135,154.6875,,,,,
B0012,Cronins 0.0%,Doz,12,14.2,,16,18.9333333333333,,,,,
B1036,Cronins Cider,Doz,12,30.48,,32,81.28,,,,,
B1022,Erdinger Free,Doz,12,14,,38,44.3333333333333,,,,,
B2055,Heineken 0.0% 330ML,Doz,12,10,,87,72.5,,,,,
B0140,Heineken 330ML,Doz,12,13.75,,144,165,,,,,
B11,KBC Blond 500ML,Doz,12,30.92,,69,177.79,,,,,
B14,KBC Full Circle 500ML,Doz,12,30.92,,24,61.84,,,,,
B1006,Kopparberg,Doz,12,26.4,,233,512.6,,,,,
B2308,Peroni GF 330ml,Doz,12,24.28,,67,135.563333333333,,,,,
B0205,Smirnoff Ice 275ml,Doz,12,15,,96,120,,,,,
B12,Smithwicks 500ML,Doz,12,26.1,,8,17.4,,,,,
B2588,Sol  L/N,Doz,12,11.95,,,0,,,,,
B2036,West C. Cooler. Rose,Doz,12,20.5,,65,111.041666666667,,,,,
B0235,West Coast Cooler 275ml,Doz,12,20.5,,69,117.875,,,,,
B10,West Coast Sunburst,Doz,12,21.4,,44,78.4666666666667,,,,,
B0254,WKD. 275ml,Doz,12,13,,136,147.333333333333,,,,,
